,link,title,premise,post_time,highlight,information,detail
25,th.jobsdb.com/th/jobs/in-jatuchak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer (Junior/Senior), & MFEC Public Company Limited & Jatuchak,1d ago, & Data Pipeline Framework & Knowledge in Data structure and Data warehouse & Competitive salary with high benefits,"Career LevelEntry LevelQualificationDegreeJob TypeFull Time, PermanentCompany Websitehttp://www.mfec.co.thJob FunctionsInformation Technology (IT), DBA, Others, Data Scientist &&& IndustryInformation TechnologyBenefits & OthersLife insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours","We are looking for Data Engineer to work as a team for build an highly performance for the customer.  

What we want?

• Design and build data pipeline framework on data platforms both the data warehouse and data lake using a relational database and HDFS technologies in the most efficient way.
• Design data models and architecture that suit with either structured, semi-structured or unstructured datasets to gain performance and efficiency of the data pipeline process.

Who are we looking for? 

• At least 1-5 years experience in bigdata technology, data engineering, data analytic application system development.
• Experience with coding skills in Python ,spark , Shell script, SQL
• Able working with data integration & ETL tools (Datastage , Informatica , ODI , SSIS )
• Experience with a variety of databases: DB2, MSSQL,Orecle, Hive, etc.
• Experience with bigdata tools, especially Cloudera
• Familiar with cloud platforms: GCP, AWS, Azure, etc.
•New Graduate are welcome!
• Experience with source code control version GIT.
• Knowing concept NiFi , Airflow , Spark , Kafka , etc.

MFEC OKR: As MFEC People, you will be a part of our talent team. Besides your main responsibilities, you do have special projects as part of OKR. However, the percentages will be different according to the positions and teams."
26,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & Colgate-Palmolive (Thailand) Limited & Klongtoey,3d ago," & Google Data Studio, Power BI, Python & Min 2 yr exp in Data Scientist, Data Visualization & Location Klongtoey, Not connect to BTS/MRT","Career LevelEntry LevelQualificationDegreeYears of Experience1 yearJob TypeFull Time, Temporary, Contract, InternshipCompany Websitehttps://jobs.colgate.com/Job FunctionsSales, CS & Business Devpt, Business Development, Information Technology (IT), DBA, Data Scientist &&& IndustryTrading and DistributionBenefits & OthersDental insurance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week","Position :  Data Scientist 
Department:  Retail Marketing (Trade Marketing -under Sales Team)
Location: Klongtoei, Bangkok
Not BTS/MRT station connection.  The office is close to Loxley Office & Shell (HQ)
ออฟฟิศไม่ติดกับสถานีรถไฟฟ้า   สถานีที่ใกล้ที่สุดคืด MRT Klongtoey & MRT Queen Sirikit
Business: FMCG (Brand - Colgate, Protex, Care, Palmolive)
ลักษณะงาน และ หน้าที่ความรับผิดชอบ
- เป็นผู้ที่ดูแลการวิเคราะห์วิจัยข้อมูล โดยเป็นผู้จัดเตรียมข้อมูล (Data Preparation) รวมทั้งออกแบบกรรมวิธีการรวบรวมข้อมูลเข้า (Data Ingestion) การสร้างคลังข้อมูลและมิติข้อมูลต่างๆที่เกี่ยวข้องเพื่อให้ข้อมูลพร้อมสำหรับการวิเคราะห์ รวมทั้งการกำหนดวิธีการนำข้อมูลส่งออก (Publish) ไปตามช่องทางต่างๆเพื่อนำไปใช้งาน

คุณสมบัติ
- มีความสามารถในการใช้งาน excel/google sheet ระดับ advanced
- เคยทำงานเกี่ยวกับ Power BI / Google data studio/ Auto report/ Dashboard
- สามารถทำงาน บริหารข้อมูลจากหลาย sources มีความละเอียดรอบคอบในการทำงาน และมีความรับผิดชอบสูง
- ประสบการณ์ อย่างน้อย 1 ปี ในสายงานทีเกี่ยวข้องกับ Data"
27,th.jobsdb.com/th/jobs/in-pravet/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,"Data Scientist, Advanced Analytics", & PANDORA & Pravet,3d ago, & Identify valuable insights & in-depth business cases via data mangling & Advanced statistical analysis,"Career LevelMiddleQualificationMasterYears of Experience3 yearsJob TypeFull TimeJob FunctionsBanking / Finance, Analysis, Information Technology (IT), IT Project Management / Team Lead, MIS &&& IndustryJewellery/Gems/Watches","Do you know what it takes to build competitive advantage through AI and advanced analytics? Do you have experience scaling data and analytics products and teams across the value chain? Do you want to be a part of a fast-moving, dynamic, and international team? And are you considered one of the best in your field? Then we have a job for you.
 
Job Description:
As Data Scientist, you will work with our stakeholders around the world to tackle both interesting and challenging problems using machine learning and optimization techniques. You will ensure that our prescriptive models are using state-of-the-art techniques to support and/or automate data driven decision making processes. Further to that, you will participate in scrum teams working on developing analytical software solutions for various applications within the organization that drive development and innovation in the area of AI systems.  
 
Responsibiities;
Partner with our stakeholders to identify valuable insights and in depth understand business cases via data mangling and advanced statistical analysis.
Tackle business challenges using predictive modelling, forecasting and optimization techniques to provide actionable recommendations.
Work on end-to-end analytical products, from exploration and prototyping to testing and productionizing.
Participate in Scrum team and work in an agile manner applying principles from DevOps 
 
Qualifications;
Ph.D. or a M.Sc. degree in computer science, physics, mathematics, operations research or related field or an equally strong analytical background,
More than 4 years of experience in programming using Python, R, SQL, or Matlab. PySpark is a plus,
3+ years industry experience in particular within big data application scenarios,
Worked with statistics, machine learning, forecasting, MIP numerical techniques, time series analysis, and scientific computing,
Working knowledge of Git, DevOps, Databricks, Docker, Kubernetes, Airflow,
Experience with neural networks, deep learning, and reinforcement learning; but not required,
Strong strategic and economics skills; you have the ability to manage large sets of qualitative and quantitative data and present finding in a simple and actionable manner,
Result-driven and action-oriented individual. Focus on executing, getting things done and delivering on targets,
Fluent proficiency in both written and oral English  
Something about you:
How would you rate yourself on the 4 C’s? We believe that communication, collaboration, critical thinking and creativity are key competences that will help anyone regardless of job function, title or skillset, in becoming a success.
If you can see yourself working in a fast-paced entrepreneurial environment with many stakeholders, where your communication and interpersonal skills are needed and your ability to collaborate and innovate as a team is essential, we would love to hear from you.    
Your new team:
Say hello to the Advanced Analytics team in the Data & Analytics Center of Excellence at Pandora – the world’s largest jewellery brand. As part of the 80+ colleagues in the wider CoE, we are a dedicated group of data-driven professionals who support business units across the full value chain with actionable insights and predictive analytics.
We have a data lake, a unified analytics platform and solid communication skills that help us translate data into business value. Your new team consists of a diverse and happy group of analysts, scientists, engineers and product people with a clear mission: We are here to deliver data-driven experiences in all consumer journey touchpoints, develop actionable insights to inform business decisions across supply chain, product, marketing, commerce, finance, HR and more - and have fun while doing it."
28,th.jobsdb.com/th/jobs/in-yannawa/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,IT - Data Scientist, & Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto) & Yannawa,3d ago," & PL/SQL database and big data Concepts & Hadoop, Spark, Hive or Python & Senior Level","Career LevelEntry LevelQualificationDegreeYears of Experience5 yearsJob TypePermanentCompany Websitehttp://www.krungsri.comJob FunctionsProfessional Services, Business Analysis / Data Analysis, Information Technology (IT), DBA, Data Scientist &&& IndustryFinancial ServicesBenefits & OthersDental insurance, Life insurance, Medical insurance, Performance bonus","Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Qualification:
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Experience using business intelligence tools (e.g. Tableau)
Knowledge of SQL and Python
Understanding of machine-learning and operations research
Analytical mind and business acumen
Strong math skills (e.g. statistics)
Problem-solving aptitude
Excellent communication and presentation skills Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores"
29,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer (AI Team), & True Corporation Public Company Limited & Huaykwang,3d ago, & Data Engineer & AI Team & R&D,"Career LevelMiddleQualificationDegreeYears of Experience4 yearsJob TypeFull Time, PermanentCompany Websitehttp://www.truecorp.co.thJob FunctionsInformation Technology (IT), Others, Data Scientist &&& IndustryTelecommunicationBenefits & OthersLife insurance, Medical insurance, Performance bonus, Five-day work week","Key Responsibilities
Software development for AI software and webservices
Data Engineering including data collection, data integration, data pipelining, data warehousing 
Work with CP AI Team in China on various AI and Data projects.
Assist Head of AI and other senior team leader on building advanced AI culture
Qualification and Experience
Bachelor Degree in Computer Science or equivalent, Master Degree or higher preferred
At least 4 years experience in AI and Data Science product development
Skill and Knowledge
Familiar with PHP/Java/Python/Nodejs, or two of them
Familiar with all kinds of crawling technologies
Have experience in designing the crawling platform
Familiar with HTTP Protocols and network packet analysis
Technical background in data mining, machine learning, etc.
Deep understanding of implementing web services and microservices
Experience implementing AI web services, software or pipeline
Proficiency in the open-source framework of various languages, and a good understanding of its core ideas, implementation principles
Familiar with the principle database software (MySQL/MongoDB/Oracle), have some experience in database optimization
Familiar with mechanisms and implementations in distributed computing, caching, messaging, search engine, load balancing, etc.
Familiar with common commands under Linux
Clear thinking, good thinking, ability to analyze and solve problems independently
Proficient in reading, writing and communicating in English"
30,th.jobsdb.com/th/jobs/in-bangrak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist," & TD Tawandang Co., Ltd. & Bangrak",3d ago, & Data Insight & Data Scientist & Python and SQL & Retail Business,"Career LevelMiddleQualificationDegreeYears of ExperienceN/AJob TypeFull Time, PermanentCompany Websitehttps://www.tdshop.io/Job FunctionsProfessional Services, Business Analysis / Data Analysis, Business Consultancy, Information Technology (IT), Data Scientist &&& IndustryWholesale / RetailBenefits & OthersDental insurance, Life insurance, Medical insurance, Work from home, Five-day work week, Flexible working hours","Data Scientist Overview
https://fb.watch/f_vQEGRwfd/

Key Responsibilities
Apply statistical and machine learning methods to large, complex data sets to draw insights and provide actionable recommendations.
Solve complex problems on both technical and business sides using advanced analytical methods.
Work with Engineering teams to implement end-to-end process from model development to testing, validation, and deployment.
Research and develop new quantitative models and frameworks to enhance the company’s data science capability.
Key Requirements/Skills/Experiences
Bachelor’s degree or higher in related fields.
At least 3 years of experience in Data Scientist.
Experience applying statistical methods to analyze and provides actionable recommendation.
Be able to explain complex analytics in simple terms.
Proficient in Python and SQL.
Experience with Machine Learning. Deep learning is preferable.
Understand basic concept and math under the hood of machine learning.
Have a data solutions concept.
Strong analytical problem-solving capabilities.
Have a retail business background is a big plus.
Fluent in English & excellent interpersonal communication."
31,th.jobsdb.com/th/jobs/in-bangkok/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Back-end Python Developer," & SMART BITS GAMES CO., LTD. & Bangkok",1d ago," & Develop back office and back-end systems & Experienced with Python and Django & 5 days work week, bonus, work from home","Career LevelMiddleQualification(N/A)Years of ExperienceN/AJob TypePermanentCompany Websitehttp://www.prtr.comJob FunctionsInformation Technology (IT), IT Project Management / Team Lead, Network & System, Data Scientist &&& IndustryHuman Resources Management/Consultancy","Our client is an online funding platform for Business. Currently, they are looking for a skilled Data Engineer to be part of their team. 

Job Description
Designing and developing scalable ETL packages from the business source systems and the development of ETL routines to populate databases from sources and also to create aggregates.
Managing end-to-end data processing framework of Data Lake from Data Source to Data Mart and Data Exchange with peripheral systems, with process alignment to company policies.
Working collaboratively with the Data and Analytics team, provide support to the users for their data-centric needs.
Performing thorough testing, validation, and deployment in order to deliver the accuracy of data transformations and data verification.
Maintaining proficiency in a variety of computer programming languages, such as SQL, PL/SQL, Unix shell scripting, Spark, Python in order to successfully complete the tasks of the role.
Qualification
Bachelor's/Master’s Degree in Computer Engineer, Computer Science, Information Technology, or related fields.
At least 2-5 year of working experience in the programming/engineer field
Ability to work in a fast-moving environment and to deliver the project on time.
Ability to communicate clearly and professionally, both verbally and in writing.
Excellent analysis and reasoning of system behaviours.
Experience in big data and streaming data frameworks (Hadoop/ Spark/ Kafka) is preferable.
Experience with AWS cloud services e.g., EC2, RDS, Redshift, etc., and pipeline orchestration services is preferable."
32,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Machine Learning Engineer/วิศวกรด้านแมชชีนเลิร์นนิง," & AIGEN CO., LTD. & Huaykwang",1d ago," & Machine/deep learning & Bachelor Degree. Experience in NLP, machine vision & Flexible hrs., WFH, Health Insurance","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
33,th.jobsdb.com/th/jobs/in-phayathai/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Machine Learning Engineer, & บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน) & Phayathai,3d ago, & Convert models towards production environment & Manage ML operations & infrastructure & Location: BTS Ari-Saphan Khwai,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
34,th.jobsdb.com/th/jobs/in-pathumwan/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & KASIKORN Business - Technology Group (KBTG) & Pathumwan,1d ago, & Marketing & Customer Insights / Wealth & Risk / Fraud / Credit Scoring / Income Ratings & Voice / Speech / Face Recog / Biometrics / Image,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
35,th.jobsdb.com/th/jobs/in-bangkok/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Machine Learning Engineer (Officer-Senior Officer) - Credit Risk Model (True Money)," & Ascend Group Co., Ltd. & Bangkok",1d ago, & Hybrid Working & Flexible Hours & Good Location,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
36,th.jobsdb.com/th/jobs/in-pravet/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,"Machine Learning Engineer, Advanced Analytics", & PANDORA & Pravet,3d ago," & understanding of business problems and tackling & Predictive modelling, forecasting trend & Optimization techniques to support","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
37,th.jobsdb.com/th/jobs/in-sathorn/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & Land and Houses Bank Public Company Limited & Sathorn,2d ago," & machine learning algorithms, optimization models & visualization, data preparation, discritization & predictive models","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
38,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & Cloud Ace Ltd. & Klongtoey,1d ago," & 5 days working, Work From Home & Good in English conversation and writing & Fresh graduate is welcome","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
39,th.jobsdb.com/th/jobs/in-bangkok/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist (Officer-Senior Officer)  Credit Risk Modle - True Money," & Ascend Group Co., Ltd. & Bangkok",1d ago, & Hybrid Working & Flexible Hours & Good Location,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
40,th.jobsdb.com/th/jobs/in-jatuchak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist & AI Lead / Data Scientist, & VISAI AI Company Limited & Jatuchak,1d ago, & Strong data science knowledge and experience & Data problem formulation & Coaching and teaching skills,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
41,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist & Data Engineer, & JAC Recruitment Thailand & Klongtoey,1d ago," & SQL query & Data model for Power BI & Salary : 50,000 THB","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
42,th.jobsdb.com/th/jobs/in-ladkrabang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist - True Leasing @Lardkrabang, & True Corporation Public Company Limited & Ladkrabang,2d ago, & IT & Data & Agile,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
43,th.jobsdb.com/th/jobs/in-sathorn/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer," & Bangkok Industrial Gas Co., Ltd. & Sathorn",1d ago," & Data Architecture/ Data Engineer/ Data Science & ETL, SQL, Python, AWS Cloud, Azure, R Code, C# & Scala, Spark, Apache Airflow","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
